FinalID,MaxTol,SAFIT1,SAFIT2,Class,Order,FunctionalFeedingGroup,subfamily,CustomSTE
Agapetus denningi,0,Agapetus,Agapetus,Insecta,Trichoptera,SC,,Agapetus
Agapetus joannia,0,Agapetus,Agapetus,Insecta,Trichoptera,SC,,Agapetus
Agapetus malleatus,0,Agapetus,Agapetus,Insecta,Trichoptera,SC,,Agapetus
Agapetus marlo,0,Agapetus,Agapetus,Insecta,Trichoptera,SC,,Agapetus
Agapetus occidentis,0,Agapetus,Agapetus,Insecta,Trichoptera,SC,,Agapetus
Agapetus orosus,0,Agapetus,Agapetus,Insecta,Trichoptera,SC,,Agapetus
Agapetus taho,0,Agapetus,Agapetus,Insecta,Trichoptera,SC,,Agapetus
Agasicles,NA,Agasicles,Agasicles,Insecta,Coleoptera,SH,,Agasicles
Agasicles hygrophila,NA,Agasicles,Agasicles,Insecta,Coleoptera,SH,,Agasicles
Agathon,0,Agathon,Agathon,Insecta,Diptera,SC,,Agathon
Agathon arizonica,0,Agathon,Agathon,Insecta,Diptera,SC,Blepharicerinae,Agathon
Agathon aylmeri,0,Agathon,Agathon,Insecta,Diptera,SC,Blepharicerinae,Agathon
Agathon aylmeri group,0,Agathon,Agathon,Insecta,Diptera,SC,Blepharicerinae,Agathon
Agathon comstocki,0,Agathon,Agathon,Insecta,Diptera,SC,,Agathon
Agathon dismalea,0,Agathon,Agathon,Insecta,Diptera,SC,Blepharicerinae,Agathon
Agathon doanei,0,Agathon,Agathon,Insecta,Diptera,SC,,Agathon
Agathon elegantulus,0,Agathon,Agathon,Insecta,Diptera,SC,,Agathon
Agathon markii,0,Agathon,Agathon,Insecta,Diptera,SC,Blepharicerinae,Agathon
Agathon sequoiarum,0,Agathon,Agathon,Insecta,Diptera,SC,Blepharicerinae,Agathon
Agraylea,8,Agraylea,Agraylea,Insecta,Trichoptera,PH,,Agraylea
Agraylea multipunctata,8,Agraylea,Agraylea,Insecta,Trichoptera,PH,,Agraylea
Agraylea saltesea,8,Agraylea,Agraylea,Insecta,Trichoptera,PH,,Agraylea
Agrypnia,4,Agrypnia,Agrypnia,Insecta,Trichoptera,SH,,Agrypnia
Agrypnia dextra,4,Agrypnia,Agrypnia,Insecta,Trichoptera,SH,,Agrypnia
Agrypnia glacialis,4,Agrypnia,Agrypnia,Insecta,Trichoptera,SH,,Agrypnia
Agrypnia improba,4,Agrypnia,Agrypnia,Insecta,Trichoptera,SH,,Agrypnia
Agrypnia pagetana,4,Agrypnia,Agrypnia,Insecta,Trichoptera,SH,,Agrypnia
Agrypnia vestita,4,Agrypnia,Agrypnia,Insecta,Trichoptera,SH,,Agrypnia
Albia,NA,Albia,Albia,Arachnida,Trombidiformes,P,,Albia
Alisotrichia,4,Alisotrichia,Alisotrichia,Insecta,Trichoptera,PH,,Alisotrichia
Alisotrichia arizonica,4,Alisotrichia arizonica,Alisotrichia arizonica,Insecta,Trichoptera,PH,,Alisotrichia arizonica
Allocosmoecus,0,Allocosmoecus,Allocosmoecus,Insecta,Trichoptera,SC,,Allocosmoecus
Allocosmoecus partitus,0,Allocosmoecus partitus,Allocosmoecus partitus,Insecta,Trichoptera,SC,,Allocosmoecus partitus
Allomyia,0,Allomyia,Allomyia,Insecta,Trichoptera,SC,,Allomyia
Allomyia acanthis,0,Allomyia,Allomyia,Insecta,Trichoptera,SC,,Allomyia
Allomyia cascadis,0,Allomyia,Allomyia,Insecta,Trichoptera,SC,,Allomyia
Allomyia cidoipes,0,Allomyia,Allomyia,Insecta,Trichoptera,SC,,Allomyia
Allomyia renoa,0,Allomyia,Allomyia,Insecta,Trichoptera,SC,,Allomyia
Allomyia tripunctata,0,Allomyia,Allomyia,Insecta,Trichoptera,SC,,Allomyia
Alloperla,1,Alloperla,Alloperla,Insecta,Plecoptera,P,,Alloperla
Alloperla chandleri,1,Alloperla,Alloperla,Insecta,Plecoptera,P,,Alloperla
Alloperla delicata,1,Alloperla,Alloperla,Insecta,Plecoptera,P,,Alloperla
Alloperla elevata,1,Alloperla,Alloperla,Insecta,Plecoptera,P,,Alloperla
Alloperla fraterna,1,Alloperla,Alloperla,Insecta,Plecoptera,P,,Alloperla
Alloperla serrata,1,Alloperla,Alloperla,Insecta,Plecoptera,P,,Alloperla
Alloperla severa,1,Alloperla,Alloperla,Insecta,Plecoptera,P,,Alloperla
Alloperla thalia,1,Alloperla,Alloperla,Insecta,Plecoptera,P,,Alloperla
Allotrichoma,6,Allotrichoma,Allotrichoma,Insecta,Diptera,CG,,Allotrichoma
Alluaudomyia,NA,Alluaudomyia,Alluaudomyia,Insecta,Diptera,P,Ceratopogoninae,Alluaudomyia
Alotanypus,7,Chironomidae,Alotanypus,Insecta,Diptera,P,Tanypodinae,Tanypodinae
Alotanypus venustus,7,Chironomidae,Alotanypus,Insecta,Diptera,P,Tanypodinae,Tanypodinae
Ambrysus,5,Ambrysus,Ambrysus,Insecta,Hemiptera,P,,Ambrysus
Ambrysus amargosus,5,Ambrysus,Ambrysus,Insecta,Hemiptera,P,,Ambrysus
Ambrysus arizonus,5,Ambrysus,Ambrysus,Insecta,Hemiptera,P,,Ambrysus
Ambrysus californicus,5,Ambrysus,Ambrysus,Insecta,Hemiptera,P,,Ambrysus
Ambrysus circumcinctus,5,Ambrysus,Ambrysus,Insecta,Hemiptera,P,,Ambrysus
Ambrysus funebris,5,Ambrysus,Ambrysus,Insecta,Hemiptera,P,,Ambrysus
